"X.1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X","expression","significant"
"FOSL2",1019.28142928566,3.09913581378707,0.0633696950990538,48.9056450238996,0,0,"FOSL2","P.adj < 0.05 & |log2FC| > 1","red"
"PDE10A",6081.01305602049,1.88296451352269,0.0397712300164241,47.3448900812244,0,0,"PDE10A","P.adj < 0.05 & |log2FC| > 1","red"
"RGS2",2206.43407705069,3.38288033119956,0.0508102056665201,66.5787569017578,0,0,"RGS2","P.adj < 0.05 & |log2FC| > 1","red"
"NR4A3",3311.79755643706,7.05923946031142,0.109545145547985,64.44137186544,0,0,"NR4A3","P.adj < 0.05 & |log2FC| > 1","red"
"EGR2",1021.85146202428,6.66948719688324,0.139736227508431,47.7291201845336,0,0,"EGR2","P.adj < 0.05 & |log2FC| > 1","red"
"NR4A1",4755.50960464437,5.15699361381142,0.0939090450883942,54.9147700198344,0,0,"NR4A1","P.adj < 0.05 & |log2FC| > 1","red"
"SIK1",851.234320772526,4.58636445757947,0.0921356676078048,49.778381995367,0,0,"SIK1","P.adj < 0.05 & |log2FC| > 1","red"
"ADAMTS1",5429.30656744275,2.15862960694766,0.0475116218927198,45.4337174980428,0,0,"ADAMTS1","P.adj < 0.05 & |log2FC| > 1","red"
"BTG2",5368.74595567831,4.71426130649296,0.0970311509211069,48.585029258552,0,0,"BTG2","P.adj < 0.05 & |log2FC| > 1","red"
"IER2",1158.66303197254,2.37271326874273,0.0625480166160276,37.9342686964551,0,0,"IER2","P.adj < 0.05 & |log2FC| > 1","red"
"ATF3",1038.8637413124,3.6847436866088,0.0778719435548722,47.3179879478976,0,0,"ATF3","P.adj < 0.05 & |log2FC| > 1","red"
"GEM",872.619070343128,2.72211767252293,0.0716844561843257,37.973611259928,0,0,"GEM","P.adj < 0.05 & |log2FC| > 1","red"
"JUN",861.596873117777,2.27321407513913,0.0550737231139381,41.2758380332529,0,0,"JUN","P.adj < 0.05 & |log2FC| > 1","red"
"ARC",2115.92966391622,4.5330576697468,0.0691990840644612,65.5074807857877,0,0,"ARC","P.adj < 0.05 & |log2FC| > 1","red"
"DUSP1",584.206637086677,2.35082486359604,0.0652305963485236,36.0386842247419,2.07431989006454e-284,1.75611921892864e-281,"DUSP1","P.adj < 0.05 & |log2FC| > 1","red"
"ZC3H12C",3350.41241352025,2.08220115082686,0.057853738324495,35.9907796994558,1.16607682694993e-283,9.25500601589821e-281,"ZC3H12C","P.adj < 0.05 & |log2FC| > 1","red"
"CREM",593.279108542605,2.22044643386421,0.0623569804204352,35.6086266347903,1.03020618154999e-277,7.69564017617846e-275,"CREM","P.adj < 0.05 & |log2FC| > 1","red"
"CRISPLD1",2119.4730217765,1.58393818905247,0.0451384719129053,35.0906471115966,9.36220928475126e-270,6.60503865039201e-267,"CRISPLD1","P.adj < 0.05 & |log2FC| > 1","red"
"RGS16",586.947918846569,2.12992043401347,0.0618535500868999,34.4348938908289,7.57961353109741e-260,5.06597432796874e-257,"RGS16","P.adj < 0.05 & |log2FC| > 1","red"
"JUNB",809.478058807683,2.62209338574395,0.0781919932625076,33.5340394372734,1.53847661745482e-246,9.76855728252936e-244,"JUNB","P.adj < 0.05 & |log2FC| > 1","red"
"KDM3A",1814.32678343783,1.26498172104535,0.0405263120227366,31.2138375763295,6.91508436338539e-214,4.18165030145862e-211,"KDM3A","P.adj < 0.05 & |log2FC| > 1","red"
"CCN1",778.853718740098,5.3103471321648,0.172638633979187,30.7599000858927,9.0152296794847e-208,5.20383644089892e-205,"CCN1","P.adj < 0.05 & |log2FC| > 1","red"
"EGR3",1960.29277159388,6.58994311319849,0.214826205376817,30.6756948093897,1.20091197956252e-206,6.63060053411495e-204,"EGR3","P.adj < 0.05 & |log2FC| > 1","red"
"HERPUD1",983.008197540467,1.51931638614202,0.052474314397129,28.9535252360562,2.53367964201236e-184,1.34063324057979e-181,"HERPUD1","P.adj < 0.05 & |log2FC| > 1","red"
"VMP1",1683.16283980781,1.07353638675573,0.037083556259608,28.9491217951241,2.87861659674926e-184,1.46222208648475e-181,"VMP1","P.adj < 0.05 & |log2FC| > 1","red"
"SRF",729.493479802476,1.47631568475621,0.051319253588781,28.767286768936,5.50610753076603e-182,2.68930998204607e-179,"SRF","P.adj < 0.05 & |log2FC| > 1","red"
"EGR1",4247.41656070501,4.3576197170433,0.15400235127003,28.2957999089415,3.89261156095231e-176,1.83082497083457e-173,"EGR1","P.adj < 0.05 & |log2FC| > 1","red"
"KLF6",898.538920423323,1.51070019324602,0.0547063505635173,27.6147134232982,7.40866113787131e-168,3.36009242106528e-165,"KLF6","P.adj < 0.05 & |log2FC| > 1","red"
"TOB1",614.233235111344,1.38073747128056,0.0503070742330764,27.4461890763812,7.71476651959185e-166,3.3782696562861e-163,"TOB1","P.adj < 0.05 & |log2FC| > 1","red"
"FOS",3240.05094020228,4.92905095666669,0.184702117906388,26.6864885608127,6.75427567003336e-157,2.85908489112512e-154,"FOS","P.adj < 0.05 & |log2FC| > 1","red"
"TPM4",4669.43697950924,0.721616133668766,0.0271104473695778,26.617640197208,4.24235131135113e-156,1.73785868718864e-153,"TPM4","P.adj < 0.05","blue"
"EIF2AK3",1927.45702303975,1.37385239659525,0.0517731539929132,26.5359996569517,3.72602413486203e-155,1.47864939026915e-152,"EIF2AK3","P.adj < 0.05 & |log2FC| > 1","red"
"PER1",659.148239658405,1.56196546727151,0.0593609401249364,26.3130176844245,1.36095960158644e-152,5.23721999410491e-150,"PER1","P.adj < 0.05 & |log2FC| > 1","red"
"LIMA1",3239.59365686303,0.882953310986859,0.0344530477919561,25.6277272280395,7.49063824997117e-145,2.79775338636423e-142,"LIMA1","P.adj < 0.05","blue"
"NFKBIZ",238.775593695401,2.23403894302651,0.0895358010938319,24.951348128167,2.06463195598766e-137,7.49107463116781e-135,"NFKBIZ","P.adj < 0.05 & |log2FC| > 1","red"
"FHL2",280.139688735606,2.3720362945351,0.0957748978991264,24.7667848942362,2.0447020525957e-135,7.21268649053134e-133,"FHL2","P.adj < 0.05 & |log2FC| > 1","red"
"NPAS4",507.143346214006,8.21476235747694,0.334283812455783,24.5742152368312,2.38369523930606e-133,8.18122860647235e-131,"NPAS4","P.adj < 0.05 & |log2FC| > 1","red"
"DUSP5",717.012121857882,2.45778256019969,0.100338695685766,24.4948625592744,1.67560088160962e-132,5.5995935777791e-130,"DUSP5","P.adj < 0.05 & |log2FC| > 1","red"
"DKK1",4308.89777540228,1.34837337145906,0.0566851940385534,23.7870469410757,4.54779910608089e-125,1.48083335508003e-122,"DKK1","P.adj < 0.05 & |log2FC| > 1","red"
"IQCN",397.248466464875,1.54649982542578,0.0672237364897405,23.0052643036557,4.1287221977272e-117,1.31076607972344e-114,"IQCN","P.adj < 0.05 & |log2FC| > 1","red"
"MCL1",4610.17583686134,1.22999390485364,0.0538241796847411,22.8520696842563,1.39375618479112e-115,4.31690482699083e-113,"MCL1","P.adj < 0.05 & |log2FC| > 1","red"
"RGPD2",1611.71165891437,0.933376920811528,0.0412259107416365,22.6405409612663,1.7290862022994e-113,5.22801563880955e-111,"RGPD2","P.adj < 0.05","blue"
"MEST",186.781985807084,2.89900363988412,0.129846192412343,22.3264432019537,2.04575702972219e-110,6.04164384196326e-108,"MEST","P.adj < 0.05 & |log2FC| > 1","red"
"RGPD1",1564.68209947794,0.932789157211328,0.0422031585926417,22.1023541440323,3.00010881266631e-108,8.65872313910216e-106,"RGPD1","P.adj < 0.05","blue"
"KCTD7",872.227361151716,1.12494684807485,0.0520652612446835,21.6064765869147,1.56116783433339e-103,4.40561562848883e-101,"KCTD7","P.adj < 0.05 & |log2FC| > 1","red"
"HOMER1",867.0446869648,1.46340872916519,0.0677866104190281,21.5884629740153,2.30553588159193e-103,6.36478264355128e-101,"HOMER1","P.adj < 0.05 & |log2FC| > 1","red"
"ZDBF2",4363.11576732471,0.917918722938543,0.0426064024201869,21.544149958637,6.00761119849937e-103,1.62320541722858e-100,"ZDBF2","P.adj < 0.05","blue"
"GPR3",117.808488368072,3.01443569519454,0.148083234696317,20.3563604035016,4.07773017427321e-92,1.07881448923116e-89,"GPR3","P.adj < 0.05 & |log2FC| > 1","red"
