"","A1","A2","A3","A4","A5","A6","B1","B2","B3","B4","B5","B6","C1","C2","C3","C4","C5","C6","D1","D2","D3","D4","D5","D6"
"ENSG00000093100",17.2610044785383,14.7704612612354,9.74666535514484,7.54874871288616,19.8539467734029,13.2036196065119,10.7866192436146,8.81254418789379,9.2640008857012,8.53899760843839,11.772591027598,7.23778900572362,7.04420017638161,7.19972027601078,14.5433373303426,16.472492094283,17.5944474485649,4.73399917703424,6.76088291123201,5.07045867571318,10.3305720995142,4.48006455497583,15.3379319893776,6.82240474905049
"DLEU2L",52.8618262155234,65.9747269668513,68.2266574860139,72.9712375578995,76.5795089831254,71.0964132658332,95.1183696936927,86.3629330413592,78.7440075284602,83.2552266822743,80.5969693427862,96.8054279515534,55.3472871001412,64.797482484097,81.2715909636792,66.9194991330246,68.7021281324914,61.5419893014451,50.7066218342401,46.6482198165613,47.8962888250205,42.1126068167728,39.6229909725587,31.8378888289023
"ENSG00000124835",18.3398172584469,18.7092509308981,20.3055528232184,18.4524968537217,19.8539467734029,16.2506087464762,22.5538402366488,19.3875972133663,22.0020021035403,13.8758711137124,11.772591027598,22.6180906428863,23.1452291509681,19.5420978920293,16.2543181927358,15.4429613383903,20.945770772101,16.5689971196198,21.4094625522347,13.1831925568543,13.1480008539272,16.128232397913,14.0597709902628,15.9189444144511
"FAM182A",8.63050223926913,13.7857638438197,15.432220145646,13.4199977117976,8.50883433145838,9.14096741989285,12.7478227424537,15.8625795382088,10.4220009964138,10.673747010548,13.5837588779977,17.1897488885936,8.05051448729327,15.4279720200231,11.1213756055561,17.5020228501757,11.7296316323766,8.28449855980992,7.88769672977068,6.08455041085582,9.39142918137656,10.752154931942,7.66896599468878,15.9189444144511
"H19",81.9897712730567,99.4544391589848,83.6588776316599,65.4224888450134,73.7432308726393,79.2217176390713,78.448139953561,76.669134434676,66.006006310621,71.5141049706715,62.4852908387893,68.7589955543744,77.4862019401977,82.2825174401232,78.7051196700894,83.3919912273076,79.593928933984,66.2759884784793,107.047312761174,89.240072692552,106.123149749555,114.689652607381,80.5241429442322,81.8688569886058
"ENSG00000151303",15.103378918721,18.7092509308981,17.8688864844322,10.0649982838482,19.8539467734029,21.32892397975,14.7090262412927,20.2688516321557,15.0540014392644,16.010620515822,9.96142317719829,18.094472514309,11.0694574200282,16.4565034880246,19.6762799175223,11.3248383148195,21.7836016029851,10.651498148327,9.01451054830935,9.12682561628372,19.7220012808908,16.128232397913,12.781609991148,25.0154840798518
"CAST",1227.68894353603,1215.11661309096,1211.02317037675,1286.6422806186,1281.99770593973,1333.5655802577,1162.01307306212,1232.87493188634,1268.01012123035,1306.46663409107,1196.27636518899,1281.08865401308,1169.33722927935,1110.81398544166,1157.47855340903,1263.23423748033,1236.63830638485,1252.14278232556,1472.74566083004,1352.79837468028,1396.5055192707,1476.62927732003,1281.99548211214,1510.02558445651
"LINC00467",157.506665866662,117.178992672467,104.776652567807,130.006227833039,128.577941008704,121.879565598571,122.575218677439,122.494364211724,115.800011071265,145.162959343453,143.082260181575,127.566031225879,127.801917485781,113.138461480169,135.167488129067,140.016182801405,150.809549559128,130.184977368442,125.076333857792,146.02920986054,145.567152311337,151.426181958183,172.551734880498,138.72222989736
"LINC01116",151.03378918721,165.429166125836,164.881088924534,172.782470539394,173.012964739654,169.615728791345,159.83808515538,163.032067476035,179.490017160461,154.769331652946,139.459924480776,177.325830640229,170.06711854407,159.422377540239,151.421806321802,184.286005304791,168.403997007692,203.561964612472,180.290210966187,198.761980087957,212.24629949911,197.122840418936,182.777022873416,188.753198057063
"SNHG16",4066.04536747567,4108.15762545826,4314.52386387745,4157.6830410863,4140.96604130975,4007.80638209969,4187.16947002132,4489.99126373189,4348.290415726,4265.22930541498,4099.5784293797,4255.81993536549,4064.50350177219,3847.73622179376,4298.83941676303,3811.32285831472,3951.21019844914,4376.58223916815,4652.61425674616,4788.54117334353,5004.69261075557,4733.63620878746,4718.97040873183,4862.10045115665
"ENSG00000167046",15.103378918721,18.7092509308981,13.8077759197885,15.0974974257723,14.1813905524306,21.32892397975,18.6314332389707,13.2188162818407,19.686001882115,14.9432458147672,17.206094578797,16.2850252628781,18.1136575964098,28.7988811040431,23.0982416423088,25.7382688973172,24.2970940956372,18.9359967081369,24.7899040078507,18.2536512325674,14.0871437720648,25.9843744188598,24.2850589831811,21.6042817053265
"FAM88B",267.545569417343,258.975420780327,271.282185718198,294.40119980256,289.300367269585,262.041066036928,229.460809364166,250.276254936184,262.866025131771,282.854295779522,260.808170457555,235.228142686018,242.52174892971,247.876083788371,259.213600652577,252.235035193708,245.484433449024,261.553454531142,267.054874993665,251.494750315374,237.603158288827,242.81949887969,250.5195558265,260.388447922094
"ENSG00000173862",17.2610044785383,15.7551586786511,13.8077759197885,15.0974974257723,18.9085207365742,27.4229022596785,15.6896279907122,22.0313604697345,13.8960013285518,27.7517422274248,16.3005106535972,15.3803016371627,19.1199719073215,24.684755232037,20.531770348719,13.3838998266049,11.7296316323766,18.9359967081369,18.0290210966187,11.155009086569,15.0262866902025,14.3362065759226,15.3379319893776,13.644809498101
"SNHG11",83.0685840529654,72.8676088887611,75.5366565023725,104.004982266431,69.9615267253245,68.049424125869,65.7003172111073,64.3315725716247,82.2180078605981,67.2446061664523,67.0132104647885,73.2826136829516,66.4167445201694,56.5692307400847,60.7398206149603,68.97856064481,61.9994814854191,72.1934874497721,82.2574087533228,57.8032289031303,64.8008613514983,65.4089425026471,52.4046009637067,77.3205871559055
"SNHG29",2963.49870640904,2937.35239615101,3035.27403601469,2968.33574387823,3409.20628880432,3053.08311824421,2890.81395728872,3124.04691460835,3142.81230047413,3074.03913903782,2888.8127213875,3164.72324275265,3126.61856400252,2833.60419434424,2920.64433210527,2887.83377027898,3043.00157777084,3149.29295252203,3373.68057270478,3366.78456067355,3508.63794216228,3720.24560645193,3312.99330970555,3610.18917970588
"FAM182B",24.8126939378987,25.602132852808,30.0522181783633,22.6462461386585,22.690224883889,26.4072392130238,23.5344419860683,29.0813958200495,27.7920026571036,17.0779952168768,25.3563499055957,22.6180906428863,23.1452291509681,10.2853146800154,17.9652990551291,14.4134305824976,16.7566166176808,23.6699958851712,13.521765822464,25.3522933785659,18.7828583627531,14.3362065759226,11.5034489920332,17.0560118726262
"DLEU1",56.0982645552493,43.3266863662904,62.5411026955127,52.0024911332157,60.5072663570374,41.6421849128452,50.9912909698146,53.7565195461521,47.4780045392186,49.0992362485208,58.8629551379899,61.5212065486507,64.4041158983461,45.2553845920678,59.8843301837637,40.1516994798148,51.1076806839266,68.6429880669964,47.3261803786241,51.7186784922744,41.3222883980569,44.8006455497583,52.4046009637067,47.7568332433534
"TYMSOS",12.9457533589037,16.7398560960667,13.8077759197885,20.1299965676964,12.2905384787732,14.2192826531666,14.7090262412927,15.8625795382088,12.7380012178391,11.7411217116028,9.96142317719829,18.9991961400245,11.0694574200282,12.3423776160185,12.8323564679494,9.26577680303417,11.7296316323766,8.28449855980992,6.76088291123201,9.12682561628372,15.0262866902025,15.2322194869178,8.94712699380358,13.644809498101
"ZFAS1",352.771779030126,339.720609008413,399.613279560939,368.211187217447,431.114272793891,415.406186081797,389.298894519546,433.577174044375,375.192035870898,435.488878030358,351.36656297754,427.029551337693,439.759353868395,364.100139672545,431.167177323098,403.576056309933,464.158280309759,472.216417909165,487.910383427244,525.299518803885,478.962888250205,476.678868649428,492.091984659197,452.552848353682
"CASC2",104.644839651138,105.362623663479,115.335540035881,120.779979406179,125.741662898218,122.895228645226,105.904988937307,111.038056767462,118.11601129269,108.87221950759,106.858903173582,106.757387834423,112.707202822106,113.138461480169,114.635717780348,114.277913904088,121.485470478186,113.615980248822,92.3987331201709,110.535999130547,95.792577650041,103.041484764444,109.921845923872,98.9248688612321
"LINC00324",21.5762555981728,21.6633431831452,27.6155518395771,19.2912467107091,29.30820714169,27.4229022596785,15.6896279907122,14.1000707006301,23.160002214253,25.6169928253152,24.4507659803958,24.4275378943172,20.1262862182332,16.4565034880246,16.2543181927358,12.3543690707122,32.6754024044776,26.0369954736883,21.4094625522347,18.2536512325674,17.8437154446155,29.5684260628405,31.9540249778699,29.5637539125521
"LINC00174",258.915067178074,246.174354353923,250.97663289498,304.466198086408,297.809201601043,277.27601173675,253.975853099654,260.851307961656,248.97002380322,256.169928253152,254.469082981156,249.703720697465,347.178437264522,332.215664164497,305.410083937195,287.239080894059,283.186820838806,284.039950622054,272.688944086358,306.255704013076,257.325159569718,296.5802735394,278.639097807026,295.637539125521
"LINC00304",26.970319497716,13.7857638438197,20.3055528232184,20.1299965676964,18.9085207365742,19.2975978864405,22.5538402366488,19.3875972133663,19.686001882115,22.4148687221508,25.3563499055957,27.1417087714636,25.1578577727915,24.684755232037,25.6647129358987,24.7087381414245,19.270109110333,31.9544944449811,29.2971592820054,26.3663851137085,25.3568587897167,27.7764002408501,23.0068979840663,26.1525515380269
"ENSG00000180458",23.7338811579901,19.6939483483138,22.7422191620046,13.4199977117976,17.9630946997455,23.3602500730595,22.5538402366488,18.506342794577,16.2120015499771,17.0779952168768,30.7898534567947,21.7133670171708,20.1262862182332,19.5420978920293,16.2543181927358,22.6496766296391,25.9727557574053,22.4864960909126,24.7899040078507,16.2254677622822,15.0262866902025,20.6082969528888,21.7287369849515,25.0154840798518
"ST20",67.9652051342444,87.6380701499965,113.711095810023,103.166232409444,86.0337693514125,124.926554738536,92.1765644454341,97.8192404856211,105.378010074851,115.276467713918,97.8030639215832,110.376282337285,120.757717309399,114.166992948171,147.144354165819,105.012137101054,112.269331338462,123.08397860289,134.090844406102,133.860109038828,136.17572312996,94.9773685654875,138.041387904398,110.295543442983
"LINC00471",18.3398172584469,14.7704612612354,12.9955538068598,10.9037481408356,15.1268165892593,8.12530437323809,8.82541574477561,9.69379860668317,12.7380012178391,11.7411217116028,9.05583925199845,4.52361812857726,20.1262862182332,9.25678321201386,8.55490431196624,13.3838998266049,14.2431241250287,13.0184977368442,9.01451054830935,7.09864214599845,3.75657167255063,12.5441807539323,11.5034489920332,15.9189444144511
"TP53TG1",72.280456253879,76.8063985584239,54.4188815662254,76.3262369858489,80.3612131304403,55.8614675660118,52.9524944686536,75.7878800158866,74.1120070856096,87.5247254864935,72.4467140159876,68.7589955543744,65.4104302092578,51.426573400077,67.5837440645333,63.8309068653465,88.8100680737085,76.9274866268063,76.6233396606295,60.8455041085582,66.6791471877736,84.2252136335455,90.7494309371505,89.8283291958314
"SPATA13",80.9109584931481,89.6074649848279,78.7855449540875,72.1324877009122,89.8154734987273,76.174728499107,102.963183689049,93.4129683916742,86.8500083034487,97.1310977959867,92.3695603703842,78.7109554372443,82.517773494756,97.7104894601463,89.8264952756455,93.6872987862344,93.8370530590127,94.6799835406847,95.7791745757869,97.3528065736931,95.792577650041,99.4574331204633,60.0735669583954,89.8283291958314
"LINC01547",43.1525111963456,27.5715276876393,27.6155518395771,26.8399954235952,20.7993728102316,33.5168805396071,37.2628664779415,36.1314311703646,32.4240030999542,28.8191169284796,26.2619338307955,34.3794977771872,26.1641720837031,19.5420978920293,24.8092225047021,36.033576456244,25.9727557574053,18.9359967081369,14.6485796410027,22.310018173138,17.8437154446155,26.880387329855,40.9011519716735,28.426686454377
"ENSG00000184441",23.7338811579901,14.7704612612354,8.9344432422161,15.0974974257723,16.0722426260881,20.3132609330952,15.6896279907122,16.7438339569982,24.3180023249656,24.5496181242604,14.4893428031975,16.2850252628781,16.1010289745865,23.6562237640354,17.9652990551291,29.8563919208879,15.0809549559128,20.1194965023955,16.90220727808,16.2254677622822,17.8437154446155,17.0242453089081,14.0597709902628,20.4672142471515
"LINC00839",333.35314899177,328.888937416841,309.456625025849,292.723700088585,324.281130632247,311.808555323012,326.540382556697,313.726573089019,313.818030003128,321.279785017495,343.216307650741,332.033570637571,347.178437264522,332.215664164497,332.785777735487,332.538434153338,367.807734758094,337.297441363689,309.873800098134,335.664364332213,332.45659302073,336.004841623187,319.540249778699,347.942642201575
"MIR22HG",29.1279450575333,28.556225105055,29.2399960654345,21.8074962816711,10.3996864051158,43.6735110061547,48.0494857215561,62.5690637340459,37.0560035428048,34.1559904337536,41.6568605591929,59.7117592972198,199.250233560508,195.420978920293,176.231028826504,201.788028154966,181.809290301837,173.974469756008,288.464337545899,242.36792469909,276.108017932471,318.980596314279,306.758639787551,296.774606583696
"ENSG00000187951",108.960090770773,110.286110750557,116.147762148809,130.006227833039,121.959958750903,97.503652478857,92.1765644454341,111.038056767462,113.48401084984,112.074343610754,136.743172705177,123.947136723017,135.852431973074,119.309650288179,122.335131661117,141.045713557298,122.32330130907,127.817977779924,141.978541135872,110.535999130547,130.540865621134,128.129846272309,115.034489920332,123.940352941084
"LINC00265",254.599816058439,222.541616335946,203.055528232184,226.462461386585,234.46565713352,249.853109477071,213.771181373454,190.350954458506,206.124019706852,202.801193200412,216.434558122763,201.753368534546,239.502805996975,222.162797088333,217.294569523942,228.555827808176,246.322264279908,233.149459468936,198.319232062806,207.88880570424,207.550584908422,247.299563434666,189.16782786899,233.098828925892
"MIR3667HG",15.103378918721,24.6174354353923,32.4888845171495,25.1624957096205,26.4719290312038,27.4229022596785,28.4374507331658,22.0313604697345,31.2660029892415,28.8191169284796,18.1116785039969,18.094472514309,8.05051448729327,26.74181816804,15.3988277615392,17.5020228501757,23.4592632647532,16.5689971196198,27.0435316449281,19.2677429677101,17.8437154446155,25.0883615078646,25.5632199822959,25.0154840798518
